"filename", "language", "Shell Script", "Go Module File", "go", "Markdown", "Go Checksum File", "Python", "comment", "blank", "total"
"/home/Jamiroq/Documents/GitHub/myRabia/README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/Jamiroq/Documents/GitHub/myRabia/client/client.go", "go", 0, 0, 151, 0, 0, 0, 0, 9, 160
"/home/Jamiroq/Documents/GitHub/myRabia/client/go.mod", "Go Module File", 0, 2, 0, 0, 0, 0, 0, 2, 4
"/home/Jamiroq/Documents/GitHub/myRabia/client/header.go", "go", 0, 0, 68, 0, 0, 0, 1, 16, 85
"/home/Jamiroq/Documents/GitHub/myRabia/proxy/go.mod", "Go Module File", 0, 2, 0, 0, 0, 0, 0, 2, 4
"/home/Jamiroq/Documents/GitHub/myRabia/proxy/proxy.go", "go", 0, 0, 113, 0, 0, 0, 10, 17, 140
"/home/Jamiroq/Documents/GitHub/myRabia/replica/PriorityQueue.go", "go", 0, 0, 22, 0, 0, 0, 0, 8, 30
"/home/Jamiroq/Documents/GitHub/myRabia/replica/RoundOne.go", "go", 0, 0, 64, 0, 0, 0, 5, 7, 76
"/home/Jamiroq/Documents/GitHub/myRabia/replica/RoundTwo.go", "go", 0, 0, 93, 0, 0, 0, 8, 13, 114
"/home/Jamiroq/Documents/GitHub/myRabia/replica/command.go", "go", 0, 0, 52, 0, 0, 0, 0, 5, 57
"/home/Jamiroq/Documents/GitHub/myRabia/replica/compareLog.py", "Python", 0, 0, 0, 0, 0, 23, 8, 12, 43
"/home/Jamiroq/Documents/GitHub/myRabia/replica/data.go", "go", 0, 0, 205, 0, 0, 0, 14, 36, 255
"/home/Jamiroq/Documents/GitHub/myRabia/replica/exchangeStage.go", "go", 0, 0, 55, 0, 0, 0, 5, 7, 67
"/home/Jamiroq/Documents/GitHub/myRabia/replica/go.mod", "Go Module File", 0, 8, 0, 0, 0, 0, 0, 4, 12
"/home/Jamiroq/Documents/GitHub/myRabia/replica/go.sum", "Go Checksum File", 0, 0, 0, 0, 11, 0, 0, 1, 12
"/home/Jamiroq/Documents/GitHub/myRabia/replica/replica.go", "go", 0, 0, 173, 0, 0, 0, 44, 46, 263
"/home/Jamiroq/Documents/GitHub/myRabia/replica/setup.go", "go", 0, 0, 72, 0, 0, 0, 7, 14, 93
"/home/Jamiroq/Documents/GitHub/myRabia/runClient.sh", "Shell Script", 3, 0, 0, 0, 0, 0, 4, 5, 12
"/home/Jamiroq/Documents/GitHub/myRabia/runProxy.sh", "Shell Script", 3, 0, 0, 0, 0, 0, 4, 5, 12
"/home/Jamiroq/Documents/GitHub/myRabia/runReplica.sh", "Shell Script", 3, 0, 0, 0, 0, 0, 4, 4, 11
"Total", "-", 9, 12, 1068, 1, 11, 23, 114, 214, 1452